Topic,Label,Top_Keywords
Topic_1,Digital Culture & Media,"game, best, good, dead, red, fifa, gta, home, want, play"
Topic_2,Gaming Performance & Play,"shit, nvidia, microsoft, xbox, ban, battlefield, depot, amazon, na, series"
Topic_3,Customer Experience & Support,"year, fuck, tv, got, thank, twitch, news, good, today, happy"
Topic_4,Community & Social Interaction,"com, facebook, playing, look, guy, google, pic, twitter, thanks, like"
Topic_5,Frustration & Bug Complaints,"game, like, player, love, great, fucking, make, people, thing, play"
Topic_6,Product Updates & Announcements,"johnson, new, day, rhandlerr, game, fix, verizon, team, bad, right"
